"Country","Primary - All","Primary - Public","Primary - Private","Change 2015-2023 (Primary)","Lower secondary - All","Lower secondary - Public","Lower secondary - Private","Change 2015-2023 (Lower secondary)"
"Türkiye","18.5","19.6","10","0","13.5","14.1","8.5","-3.3"
"Korea","15.3","15.3","16","-1.5","12.8","12.7","13","-2.9"
"G20","12.3","11.7","10.4","-4.8","10.6","10.5","8.7","-2.4"
"Chile","17.4","13.3","21.1","-3.5","19.7","15.5","23.9","-2.2"
"Norway","10","10.1","7.1","-0.3","7.6","7.5","9.7","-1.9"
"Costa Rica","10.8","11.1","8.8","-1.9","12.4","13.2","8.2","-1.6"
"Luxembourg","8.6","8.6","8.8","-2.1","9.6","9.6","9.5","-1.4"
"Sweden","12.6","12.4","13.9","-0.3","11.1","10.9","12.3","-1.1"
"Japan","15","15","14.1","-1.9","12.6","12.7","11.4","-1"
"Spain","12.3","11.3","15.1","-1.4","10.9","9.7","14.8","-1"
"Italy","10.7","10.6","13.7","-1.7","10.5","10.5","10.8","-1"
"United States","13.9","14.3","10.9","-1.5","14.7","15.3","10.6","-0.7"
"Netherlands","16.2","16.2","16.2","-0.4","15.3","15.3","15.3","-0.7"
"Portugal","12.3","11.9","15.5","-1.4","9.4","8.9","16.6","-0.6"
"Germany","15.2","15.4","12.6","-0.3","13","13","12.7","-0.3"
"Iceland","9.7","9.7","9.5","-1","10.4","10.4","8.1","-0.1"
"European Union (25 countries)","12.9","12.9","12.9","-1.3","10.8","10.7","11.3","0"
"Austria","13","13.1","12.2","1.2","8.7","8.6","9.8","0"
"Denmark","12.2","11.9","13.4","-0.1","11.2","11.3","11","0"
"OECD","13.4","13.4","13.1","-1.7","12.2","12.1","11.5","0"
"Poland","12.5","12.7","10.4","1.4","9.7","9.8","9.1","0.1"
"Finland","12.4","12.4","12.2","-1.1","9.2","9.1","10","0.2"
"Belgium","11.6","11.2","12.1","-1.1","9.2","9.4","9.1","0.2"
"France","18.1","17.7","21","-1.6","14.7","14.3","16.9","0.3"
"Hungary","10.8","10.8","10.6","-0.5","11","10.8","11.8","0.4"
"New Zealand","16.1","16.2","12.3","-0.3","16.7","17","13.4","0.5"
"Israel","14.8","13.9","19","-0.6","12.5","12.5","1.8","0.6"
"Estonia","12.2","12.4","10.3","-1.2","10.4","10.4","9.1","0.8"
"Czechia","17.7","17.9","14.5","-1.2","12.7","12.8","12","0.9"
"Latvia","13.1","13.4","8.5","2","9.6","9.5","9.7","1.8"
"United Kingdom","19.5","20.4","18.1","1.1","17","16.7","17.1","2.7"
"Lithuania","14.1","14.4","10.8","3.8","10.3","10.4","10","3"
"Slovak Republic","14.3","14.4","13.7","-2.8","16.1","16.2","15.4","4.5"
"Mexico","23.4","23.9","20","-3.5","30.7","34.7","14.4","n.a."
